,text
24,"Although these treatments are very successful (in slowing or stopping further vision loss), they do not cure diabetic retinopathy. Caution should be exercised in treatment with laser surgery since it causes a loss of retinal tissue. It is often more prudent to inject triamcinolone or anti-VEGF drugs. In some patients it results in a marked increase of vision, especially if there is an edema of the macula."
25,"In addition, standard treatment for diabetic retinopathy includes improving control of blood sugar, blood pressure, and blood cholesterol, all of which can reduce diabetic retinopathy progression."
26,"For those with mild to moderate non-proliferative diabetic retinopathy, the American Academy of Ophthalmology recommends only more frequent retinal exams—every six to twelve months—as these people are at an increased risk of developing proliferative retinopathy or macular edema. Injection of anti-VEGF drugs or steroids can reduce diabetic retinopathy progression in around half of eyes treated; however, whether this results in improved vision long term is not yet known. The lipid-lowering drug fenofibrate also reduces progression of disease in people with mild to moderate disease."
27,"Those at highest risk of vision loss – that is, with edema near the center of the macula – benefit most from eye injections of anti-VEGF therapies aflibercept, bevacizumab, or ranibizumab. There is no widely accepted dosing schedule, though people typically receive more frequent injections during the first year of treatment, with less frequent injections in subsequent years sufficient to maintain remission. Those whose eyes don't improve with anti-VEGF therapy may instead receive laser photocoagulation, typically in the form of short laser pulses."
28,"Those with macular edema but no vision loss do not benefit from treatment; the American Academy of Ophthalmology recommends deferring treatment until visual acuity falls to at least 20/30. The diabetic macular edema manifestation is difficult to predict. Autoantibodies against hexokinase 1 are commonly associated with diabetic macular edema manifestation. Nearly one-third of patients with diabetic macular edema were found to be positive for anti-hexokinase 1 autoantibodies. Importantly, these autoantibodies were rare in patients with diabetic retinopathy only or diabetes mellitus only. However, these autoantibodies fail to predict disease onset. They likely manifest secondary to the tissue-damaging stimulus at diabetic macular edema onset and cannot be used to predict diabetic macular edema before its onset."
29,"Laser photocoagulation can be used in two scenarios for the treatment of diabetic retinopathy. Firstly, to treat macular edema and secondly, for treating whole retina (panretinal photocoagulation) for controlling neovascularization. It is widely used for early stages of proliferative retinopathy. There are different types of lasers and there is evidence available on their benefits to treat proliferative diabetic retinopathy."
30,"For those with proliferative or severe non-proliferative diabetic retinopathy, vision loss can be prevented by treatment with panretinal laser photocoagulation."
31,"The goal is to create 1,600–2,000 burns in the retina with the hope of reducing the retina's oxygen demand, and hence the possibility of ischemia. It is done in multiple sittings."
32,"In treating advanced diabetic retinopathy, the burns are used to destroy the abnormal new blood vessels that form in the retina. This has been shown to reduce the risk of severe vision loss for eyes at risk by 50%."
33,"Before using the laser, the ophthalmologist dilates the pupil and applies anaesthetic drops to numb the eye. In some cases, the doctor also may numb the area behind the eye to reduce discomfort. The patient sits facing the laser machine while the doctor holds a special lens on the eye. The physician can use a single spot laser, a pattern scan laser for two dimensional patterns such as squares, rings and arcs, or a navigated laser which works by tracking retinal eye movements in real time. During the procedure, the patient will see flashes of light. These flashes often create an uncomfortable stinging sensation for the patient. After the laser treatment, patients should be advised not to drive for a few hours while the pupils are still dilated. Vision will most likely remain blurry for the rest of the day. Though there should not be much pain in the eye itself, an ice-cream headache like pain may last for hours afterwards."
34,Patients will lose some of their peripheral vision after this surgery although it may be barely noticeable by the patient. The procedure does however save the center of the patient's sight. Laser surgery may also slightly reduce colour and night vision.
35,"A person with proliferative retinopathy will always be at risk for new bleeding, as well as glaucoma, a complication from the new blood vessels. This means that multiple treatments may be required to protect vision."
36,"Triamcinolone is a long acting steroid preparation. Treating people with DME with intravitreal injections of triamcinolone may lead to a some degree of improvement in visual acuity when compared to eyes treated with placebo injections. When injected in the vitreous cavity, the steroid decreases the macular edema (thickening of the retina at the macula) caused due to diabetic maculopathy, and that may result in an increase in visual acuity. The effect of triamcinolone is not permanent and may last up to three months, which necessitates repeated injections for maintaining the beneficial effect. Best results of intravitreal Triamcinolone have been found in eyes that have already undergone cataract surgery. Complications of intravitreal injection of triamcinolone may include cataract, steroid-induced glaucoma, and endophthalmitis."
37,"Aflibercept may have advantages in improving visual outcomes over bevacizumab and ranibizumab, after one year, longer term advantages are unclear  In cases with vitreous hemorrhage, however, anti-VEGF injections proved to be less effective in restoring visual acuity than vitrectomy combined with panretinal laser-photocoagulation."
38,"Fenofibrate, a drug that is also used to reduce cholesterol levels, has been studied for its role in helping to improve the negative effects caused by diabetes and reducing the occurrence of retinal inflammation. There is some evidence that overall, in people with type II diabetes, fenofibrate may not make a clinically significant difference in progression of DME. For people who have type II diabetes and have overt retinopathy, there is evidence that fenofibrate may be more effective at reducing the progression of retinal damage."
39,"Instead of laser surgery, some people require a vitrectomy to restore vision. A vitrectomy is performed when there is a lot of blood in the vitreous. It involves removing the cloudy vitreous and replacing it with a saline solution."
40,"Studies show that people who have a vitrectomy soon after a large hemorrhage are more likely to protect their vision than someone who waits to have the operation. Early vitrectomy is especially effective in people with insulin-dependent diabetes, who may be at greater risk of blindness from a hemorrhage into the eye."
41,"Vitrectomy may be done under general or local anesthesia. The doctor makes a tiny incision in the sclera, or white of the eye. Next, a small instrument is placed into the eye to remove the vitreous and insert the saline solution into the eye."
42,"Patients may be able to return home soon after the vitrectomy, or may be asked to stay in the hospital overnight. After the operation, the eye will be red and sensitive, and patients usually need to wear an eyepatch for a few days or weeks to protect the eye. Medicated eye drops are also prescribed to protect against infection. There is evidence which suggests anti-VEGF drugs given either prior to or during vitrectomy may reduce the risk of posterior vitreous cavity haemorrhage . Vitrectomy is frequently combined with other modalities of treatment."
43,"Around 35% of people with diabetes have some kind of diabetic retinopathy; around 10% experience some degree of vision loss. Diabetic retinopathy is particularly common in those with type 1 diabetes – affecting 25% of people five years from diagnosis, 60% 10 years from diagnosis, and 80% 15 years from diagnosis. Chances of disease progression are heavily influenced by blood sugar control, but on average 7% of those with diabetes experiencing proliferative diabetic retinopathy and 7% diabetic macular edema. Diabetic retinopathy is the leading cause of vision loss in those 20–74 years old."
44,The global burden of diabetic retinopathy increased dramatically from 1990 to 2015—from 1.4 million to 2.6 million people with visual impairment; from 0.2 million to 0.4 million blinded—due in large part to the increasing burden of type 2 diabetes in low- and middle-income countries.
45,"Several large multicenter randomized clinical trials have been done to evaluate treatment protocols for those with diabetic retinopathy, namely the Early Treatment for Diabetic Retinopathy Study, Diabetic Retinopathy Vitrectomy Study,  Diabetic Retinopathy Study, Diabetes Control and Complications Trial, UK Prospective Diabetes Study, and the Diabetic Retinopathy Clinical Research Network Protocols I, S, and T."
46,"A medical device comprising a mask that delivers green light through the eyelids while a person sleeps was under development in 2016. The light from the mask stops rod cells in the retina from dark adapting, which is thought to reduce their oxygen requirement, which in turn diminishes new blood vessel formation and thus prevents diabetic retinopathy.  As of 2016 a large clinical trial was underway. As of 2018, the results from the clinical trial showed no long-term therapeutic benefit from using the mask in diabetic retinopathy patients."
47,"C-peptide had shown promising results in treatment of diabetic complications incidental to vascular degeneration. Creative Peptides, Eli Lilly, and Cebix all had drug development programs for a C-peptide product. Cebix had the only ongoing program until it completed a Phase IIb trial in December 2014 that showed no difference between C-peptide and placebo, and it terminated its program and went out of business."
48,"Clinical trials are under way or are being populated in preparation for study at medical centers in Brazil, Iran and the United States. Current trials involve using the patients' own stem cells derived from bone marrow and injected into the degenerated areas in an effort to regenerate the vascular system."
49,"A Cochrane review examined 29 randomized controlled trials to determine whether interventions that sought to control or reduce blood pressure in diabetics had any effects of diabetic retinopathy. While the results showed that interventions to control or reduce blood pressure prevented diabetic retinopathy for up to 4–5 years in diabetics, there was no evidence of any effect of these interventions on progression of diabetic retinopathy, preservation of visual acuity, adverse events, quality of life, and costs."
50,Diabetic retinopathy is diagnosed entirely by recognizing abnormalities on retinal images taken by fundoscopy. Color fundus photography is mainly used for staging the disease. Fluorescein angiography is used to assess the extent of retinopathy that aids in treatment plan development. Optical coherence tomography (OCT) is used to determine the severity of edema and treatment response.
51,"Because fundoscopic images are the main sources for diagnosis of diabetic retinopathy, manually analyzing those images can be time-consuming and unreliable, as the ability of detecting abnormalities varies by years of experience. Therefore, scientists have explored developing computer-aided diagnosis approaches to automate the process, which involves extracting information about the blood vessels and any abnormal patterns from the rest of the fundoscopic image and analyzing them."
52,Diabetic diet
53,Diabetic papillopathy
54,"Purtscher's retinopathy, a disease with similar abnormalities in the eye, usually caused by trauma."
55,Retinal regeneration
56," This article incorporates text from a publication in the public domain: ""Facts About Diabetic Retinopathy"". National Eye Institute, National Institutes of Health (NEI/NIH). June 2012. Archived from the original on 12 May 2014. Retrieved 13 June 2002."
57,"Diabetic retinopathy resource guide courtesy of National Eye Institute, National Institutes of Health (NEI/NIH)"
58,"Diabetic Eye Disease National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health (NIDDK/NIH)"
59,NHS Diabetic Eye Screening Programme
